com.ctrip.framework.apollo.adminservice.controller.ItemController	public List<com.ctrip.framework.apollo.common.dto.ItemDTO> findDeletedItems(java.lang.String, java.lang.String, java.lang.String) 	commits	B1	0/5
com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController	public PageDTO<com.ctrip.framework.apollo.common.dto.InstanceDTO> getInstancesByNamespace(java.lang.String, java.lang.String, java.lang.String, java.lang.String, org.springframework.data.domain.Pageable) 	instances	B1	0/4
com.ctrip.framework.apollo.adminservice.controller.ReleaseController	public void rollback(long, long, java.lang.String) 	release	B1	0/4
com.ctrip.framework.apollo.adminservice.controller.ReleaseHistoryController	private PageDTO<com.ctrip.framework.apollo.common.dto.ReleaseHistoryDTO> transform2PageDTO(Page<com.ctrip.framework.apollo.biz.entity.ReleaseHistory>, org.springframework.data.domain.Pageable) 	releaseHistoryDTOs	B3	0/4
com.ctrip.framework.apollo.adminservice.controller.ReleaseHistoryController	private PageDTO<com.ctrip.framework.apollo.common.dto.ReleaseHistoryDTO> transform2PageDTO(Page<com.ctrip.framework.apollo.biz.entity.ReleaseHistory>, org.springframework.data.domain.Pageable) 	releaseHistoryDTOs	B4	0/2
com.ctrip.framework.apollo.adminservice.controller.ReleaseController	public com.ctrip.framework.apollo.common.dto.ReleaseDTO publish(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, boolean) 	messageCluster	B1	1/6
com.ctrip.framework.apollo.adminservice.controller.ReleaseController	public com.ctrip.framework.apollo.common.dto.ReleaseDTO publish(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, boolean) 	messageCluster	B3	0/5
com.ctrip.framework.apollo.adminservice.controller.ReleaseController	public com.ctrip.framework.apollo.common.dto.ReleaseDTO publish(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, boolean, Set<java.lang.String>) 	messageCluster	B1	1/6
com.ctrip.framework.apollo.adminservice.controller.ReleaseController	public com.ctrip.framework.apollo.common.dto.ReleaseDTO publish(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, boolean, Set<java.lang.String>) 	messageCluster	B3	0/5
com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController	public PageDTO<com.ctrip.framework.apollo.common.dto.InstanceDTO> getByRelease(long, org.springframework.data.domain.Pageable) 	instanceConfigMap	B4	2/4
com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController	public PageDTO<com.ctrip.framework.apollo.common.dto.InstanceDTO> getByRelease(long, org.springframework.data.domain.Pageable) 	otherReleaseKeys	B4	1/3
com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController	public PageDTO<com.ctrip.framework.apollo.common.dto.InstanceDTO> getByRelease(long, org.springframework.data.domain.Pageable) 	otherReleaseKeys	B5	1/2
com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController	public PageDTO<com.ctrip.framework.apollo.common.dto.InstanceDTO> getByRelease(long, org.springframework.data.domain.Pageable) 	instanceDTOs	B1	5/11
com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController	public PageDTO<com.ctrip.framework.apollo.common.dto.InstanceDTO> getByRelease(long, org.springframework.data.domain.Pageable) 	instanceDTOs	B3	4/10
com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController	public PageDTO<com.ctrip.framework.apollo.common.dto.InstanceDTO> getByRelease(long, org.springframework.data.domain.Pageable) 	instanceDTOs	B4	2/7
com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController	public PageDTO<com.ctrip.framework.apollo.common.dto.InstanceDTO> getByRelease(long, org.springframework.data.domain.Pageable) 	instanceDTOs	B5	1/6
com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController	public PageDTO<com.ctrip.framework.apollo.common.dto.InstanceDTO> getByRelease(long, org.springframework.data.domain.Pageable) 	instanceDTOs	B7	0/4
com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController	public List<com.ctrip.framework.apollo.common.dto.InstanceDTO> getByReleasesNotIn(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	otherReleaseKeys	B1	5/7
com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController	public List<com.ctrip.framework.apollo.common.dto.InstanceDTO> getByReleasesNotIn(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	otherReleaseKeys	B3	3/5
com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController	public List<com.ctrip.framework.apollo.common.dto.InstanceDTO> getByReleasesNotIn(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	otherReleaseKeys	B4	1/2
com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController	public List<com.ctrip.framework.apollo.common.dto.InstanceDTO> getByReleasesNotIn(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	instanceConfigMap	B1	6/8
com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController	public List<com.ctrip.framework.apollo.common.dto.InstanceDTO> getByReleasesNotIn(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	instanceConfigMap	B3	4/6
